Location,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1/1/20 22:00,0.914940,0.870060,0.739755,0.963900,0.890970,0.792030,0.650505,0.664020,0.929220,0.859095,0.404430,0.606390,0.451520,0.559980,0.235280,0.087975,0.271320,0.762960,0.724200,0.950640,0.277780,0.291380
1/1/20 23:00,0.920040,0.894200,0.772905,0.963900,0.900150,0.810390,0.678810,0.712980,0.918000,0.847365,0.370260,0.609450,0.502860,0.610980,0.225760,0.057630,0.186660,0.752250,0.694110,0.921060,0.299540,0.259760
1/2/20 0:00,0.915960,0.897600,0.780300,0.958800,0.900150,0.798150,0.697170,0.694110,0.898875,0.817530,0.362355,0.587010,0.490620,0.605540,0.196520,0.047175,0.109140,0.702780,0.655350,0.865470,0.330820,0.249220
1/2/20 1:00,0.907800,0.890120,0.775710,0.950640,0.884850,0.773670,0.680340,0.617100,0.864705,0.773160,0.398565,0.544680,0.418540,0.582080,0.173060,0.045390,0.084660,0.677280,0.593640,0.780810,0.367540,0.245140
1/2/20 2:00,0.903720,0.879580,0.760410,0.939420,0.870060,0.738480,0.623220,0.518670,0.834360,0.716040,0.386070,0.480420,0.379440,0.557260,0.150280,0.060180,0.076500,0.623730,0.510510,0.680850,0.405960,0.232220
1/2/20 3:00,0.888420,0.862920,0.732360,0.924120,0.851190,0.701760,0.558195,0.458490,0.817275,0.647190,0.395760,0.419730,0.337280,0.518500,0.125120,0.090015,0.062220,0.566610,0.435540,0.596700,0.431120,0.208420
1/2/20 4:00,0.852720,0.843200,0.696150,0.912900,0.824160,0.672180,0.505410,0.435540,0.806820,0.582420,0.411825,0.379950,0.317900,0.484500,0.109820,0.122655,0.053040,0.521220,0.386580,0.543660,0.439280,0.174420
1/2/20 5:00,0.835380,0.824840,0.657390,0.893520,0.792540,0.650250,0.470475,0.416160,0.777240,0.532440,0.405450,0.376380,0.310080,0.450160,0.098600,0.155295,0.044880,0.490620,0.365160,0.493680,0.420580,0.133960
1/2/20 6:00,0.818040,0.802740,0.594660,0.847620,0.743070,0.613530,0.411315,0.409020,0.725475,0.460275,0.350115,0.363630,0.307700,0.404260,0.083640,0.136170,0.031620,0.444210,0.361590,0.443700,0.382160,0.087380
1/2/20 7:00,0.654840,0.608260,0.328695,0.626280,0.420750,0.294270,0.160140,0.341190,0.511275,0.208845,0.219300,0.386580,0.320280,0.302600,0.076500,0.061710,0.033660,0.247860,0.362610,0.398820,0.329800,0.055080
1/2/20 8:00,0.550800,0.471920,0.243525,0.657900,0.296310,0.144330,0.083385,0.496740,0.508725,0.097665,0.097410,0.377400,0.284240,0.218280,0.057120,0.037485,0.063240,0.175950,0.354960,0.375870,0.262820,0.033320
1/2/20 9:00,0.807840,0.600780,0.169575,0.690540,0.491640,0.190230,0.085935,0.461550,0.403410,0.043860,0.012750,0.312120,0.223720,0.100300,0.036720,0.030345,0.058140,0.250920,0.329460,0.358530,0.195500,0.020060
1/2/20 10:00,0.551820,0.374340,0.085425,0.411060,0.273870,0.161160,0.086445,0.293760,0.162180,0.041820,0.016575,0.224400,0.155720,0.044200,0.025160,0.021420,0.069360,0.169830,0.303450,0.335070,0.147560,0.019380
1/2/20 11:00,0.270300,0.224740,0.074205,0.184620,0.169320,0.144840,0.070890,0.189720,0.052020,0.066300,0.023460,0.138210,0.089080,0.051340,0.025160,0.026520,0.112200,0.146880,0.285600,0.307530,0.121380,0.037060
1/2/20 12:00,0.100980,0.132260,0.064770,0.071400,0.116790,0.116280,0.055335,0.125970,0.033405,0.097410,0.032130,0.089250,0.072420,0.073440,0.031280,0.053550,0.193800,0.160650,0.281520,0.285600,0.111180,0.079560
1/2/20 13:00,0.029580,0.073440,0.054315,0.015300,0.093330,0.088740,0.052020,0.083130,0.048705,0.125715,0.049725,0.064770,0.099620,0.104380,0.057120,0.086190,0.309060,0.207570,0.290190,0.281010,0.119680,0.148920
1/2/20 14:00,0.000000,0.037060,0.048450,0.007140,0.085170,0.071910,0.062985,0.062730,0.080070,0.138975,0.073695,0.061710,0.150620,0.128860,0.113220,0.120105,0.417180,0.258060,0.301410,0.291720,0.149940,0.231200
1/2/20 15:00,0.000000,0.024140,0.053295,0.048960,0.098940,0.071910,0.088740,0.062730,0.123675,0.137955,0.107100,0.060180,0.209100,0.134640,0.206380,0.169320,0.470220,0.298860,0.315180,0.314160,0.198560,0.284580
1/2/20 16:00,0.000000,0.031620,0.072675,0.110160,0.128010,0.093840,0.123675,0.075990,0.171615,0.135660,0.134895,0.042840,0.249220,0.133280,0.301920,0.224655,0.477360,0.335070,0.346290,0.336600,0.259420,0.306000
1/2/20 17:00,0.009180,0.050660,0.102765,0.178500,0.166260,0.132600,0.152235,0.099450,0.215220,0.132600,0.155805,0.026520,0.273020,0.136340,0.338640,0.252960,0.442680,0.334560,0.405450,0.345780,0.317900,0.299200
1/2/20 18:00,0.053040,0.089420,0.141015,0.261120,0.212160,0.177480,0.165750,0.133110,0.251940,0.138465,0.151215,0.039780,0.288320,0.165240,0.325720,0.232560,0.375360,0.323340,0.482970,0.341190,0.371960,0.265200
1/2/20 19:00,0.154020,0.183600,0.201705,0.456960,0.326910,0.257550,0.207825,0.246330,0.396525,0.226950,0.150450,0.156060,0.380800,0.237320,0.348840,0.205785,0.263160,0.318240,0.522750,0.324870,0.400180,0.203320
1/2/20 20:00,0.552840,0.471920,0.367200,0.822120,0.600270,0.460020,0.365925,0.450840,0.716295,0.416670,0.220830,0.422790,0.614720,0.390320,0.346800,0.159120,0.267240,0.387600,0.484500,0.315690,0.385900,0.135660
1/2/20 21:00,0.822120,0.680340,0.517395,0.934320,0.757860,0.628320,0.528870,0.522240,0.840225,0.601545,0.346290,0.699720,0.702780,0.545360,0.310080,0.116535,0.228480,0.454920,0.396780,0.316710,0.345100,0.088740
1/2/20 22:00,0.899640,0.761600,0.616080,0.946560,0.823650,0.725220,0.663765,0.542130,0.860880,0.708645,0.504390,0.777750,0.673540,0.606900,0.266560,0.093840,0.219300,0.480930,0.343230,0.315690,0.289340,0.054060
1/2/20 23:00,0.915960,0.773840,0.656115,0.936360,0.840480,0.759900,0.726750,0.553860,0.870060,0.754035,0.551310,0.748170,0.610640,0.575620,0.223040,0.093330,0.220320,0.484500,0.329460,0.304470,0.230520,0.035360
1/3/20 0:00,0.914940,0.758880,0.665295,0.920040,0.835890,0.763980,0.738225,0.658920,0.891225,0.772395,0.500055,0.675750,0.541960,0.519520,0.170000,0.091545,0.199920,0.477870,0.320280,0.273360,0.174420,0.027880
1/3/20 1:00,0.907800,0.738820,0.655860,0.896580,0.820590,0.756840,0.710940,0.772140,0.890715,0.800955,0.491130,0.580380,0.472600,0.474640,0.134300,0.091035,0.143820,0.455940,0.299880,0.224400,0.129200,0.024140
1/3/20 2:00,0.898620,0.726580,0.636480,0.858840,0.799680,0.743580,0.653820,0.729810,0.883065,0.814470,0.483480,0.492150,0.374680,0.440300,0.107780,0.112200,0.095880,0.434520,0.271830,0.181560,0.098600,0.025500
1/3/20 3:00,0.887400,0.727940,0.637500,0.808860,0.777240,0.751230,0.584460,0.660960,0.873375,0.801465,0.489855,0.420750,0.296820,0.399500,0.088740,0.156060,0.060180,0.425850,0.235110,0.153510,0.082620,0.033320
1/3/20 4:00,0.871080,0.724880,0.639540,0.756840,0.753780,0.771630,0.531165,0.621180,0.865725,0.774945,0.507195,0.363630,0.257040,0.368900,0.076500,0.211140,0.024480,0.426360,0.188190,0.132090,0.085340,0.047600
1/3/20 5:00,0.846600,0.716720,0.656880,0.710940,0.707370,0.762960,0.486540,0.600270,0.834615,0.757350,0.489345,0.342210,0.225420,0.377060,0.081600,0.265200,0.008160,0.423810,0.150450,0.119850,0.092480,0.068340
